listing,price,brand,size
Rebecca Minkoff Avery crossbody,39.0,Rebecca,
"Coach CHAIN TABBY SHOULDER BAG 30 WITH QUILTING -maple
          
      NWT",1500.0,Coach,
Authentic Vintage Pierre Balmain Labyrinth Monogram Shoulder Bag,600.0,Authentic,
Louis Vuitton Monoglam Side Trunk,3750.0,Louis,
Badgley Mischka  Black Quilted Chain Crossbody Bag,26.0,Badgley,
"Burberry Leather Authentic Handbag, Nova check interior includes Entrupy COA.",425.0,Burberry,
Mundi Pink Butterfly Crossbody Bag,14.0,Mundi,
"Vera Bradley Wolven, chocolate, black, red and cream Crossbody bag",20.0,Vera,
Tory Burch Robinson Double Zip Bag Saffiano Leather Crossbody Tote Poppy Red,162.0,Tory,
NWT Life is Good Flowers Logo Cotton Canvas Bag Ivory,30.0,NWT,
✅AUTHENTIC LV LARGE RANDONNEE SLING BUCKET BAG,780.0,✅AUTHENTIC,Large
Coach  Y2K Beige Canvas and Leather Op Art Parker Hobo,77.0,Coach,
