listing,price,brand,size
DOONEY AND BOURKE WAYFARER BLACK NYLON SATCHEL HANDBAG CROSSBODY PURSE,89.0,DOONEY,
Isaac Mizrahi,76.0,Isaac,
✅AuthP/Owned✅LOUIS VUITTON SARAH WALLET,295.0,✅AuthP/Owned✅LOUIS,
Vintage black vegan crocodile texture tophandle handbag,20.0,Vintage,
Brand New G.I.L.I GILI Got It Love Leather  Convertible Backpack Handbag Purse,108.0,Brand,
Red Faux Fur Clutch,12.0,Red,
Fossil Navy Floral Wallet,20.0,Fossil,
Vintage Plastic Wire Woven Hand Bag Purse Rare Gold Colored,70.0,Vintage,
CHANEL Quilted Lambskin Matelasse Logos Bag,1999.0,CHANEL,
Vera Bradley Pink and Blue Crossbody Bag with Floral Design,18.0,Vera,
Michael Kors Hayes Pale Gold Large Leather Satchel,65.0,Michael,Large
Wallet Louis Vuitton,600.0,Wallet,
"MICHAEL KORS
Leather Continental Wristlet Phone Case Wallet 
Light Cream 
NWT
          
      Boutique",90.0,MICHAEL,
"Michael Kors Pink Crossbody Bag NWT
          
      NWT",78.0,Michael,
Gold Clutch with Vintage Elegance and Intricate Design,119.0,Gold,
Apana Sherpa Fleece Crossbody Bag | Cream Adjustable Strap | Cozy Neutral,22.0,Apana,
"🌹Copper Silk w/ Rose Cross Bag ✝️
          
      NWT",13.0,🌹Copper,
ETRO Paisley Tote Bag,229.0,ETRO,
Vera Bradley Pouch Wallet Womens One Size Multicolor Dog Print Quilted,10.0,Vera,
Kate Spade New Horizons Little Len Cactus Tote,135.0,Kate,
Kate Spade Green Crossbody Bag with Multicolor Strap,160.0,Kate,
🆕 Kate Spade Bifold Wallet in Baby Blue - NWT,50.0,🆕,
Tommy Hilfiger Black Canvas Tote Bag,11.0,Tommy,
"NWT Beis Mesh Beach Tote in Camel Tan
          
      NWT",165.0,NWT,
Bally Rare Debora Suede Leather Satchel Doctor Bag Excellent Pre-Loved,193.0,Bally,
"Cozy Earth White Canvas Zip Tote Bag
          
      NWT",16.0,Cozy,
Halogen Tan Crossbody Clutch With Silver Chain EUC,31.0,Halogen,
"NWT w/ Izzy Vegan Crossbody Clutch
          
      NWT",18.0,NWT,
Mansur Gavriel Metallic Silver Shoulder Bag,395.0,Mansur,
MICHAEL KORS | MK Signature Jet Set Zip Around Carryall Wallet-EUC,59.0,MICHAEL,
Vintage Mid Century Beaded Looped & Fabric Silver Clasp Purse W Chain Handle,12.0,Vintage,
